chemsys,n_elements,n_entries,status,n_prompts
Fe-Sr-Te,3,40,ok,1
Fe-Tc-Te,3,31,ok,1
Fe-Te-Zr,3,55,ok,1
Fe-Y,2,25,ok,1
Fe-Zn,2,25,ok,1
Ga-Ge-V,3,53,ok,1
Ga-Hf-Se,3,46,ok,1
Ga-Hg-La-Mg,4,225,ok,1
Ga-In-Pt-Rh,4,76,ok,1
Ga-In-Pt-W,4,65,ok,1
Ga-K-Pd,3,54,ok,1
Ga-Mg-Mo,3,123,ok,1
Ga-Mg-Y,3,194,ok,1
Ga-Mn-Sb,3,70,ok,1
Ga-Ni-Zn,3,52,ok,1
Ga-P-Pb,3,46,ok,1
Ga-P-Sc,3,60,ok,1
Ga-Pd-Pr-Tb,4,84,ok,1
Ga-Pt-Sr,3,48,ok,1
Ga-Re-Sc,3,39,ok,1
Ga-Rh,2,23,ok,1
Ga-Sc-V,3,45,ok,1
Ga-Sc-Y-Zn,4,80,ok,1
Ga-Sc-Zr,3,51,ok,1
Ga-Ta-Tc,3,31,ok,1
Ga-Tc-Zn,3,23,ok,1
Gd-Ge-La,3,39,ok,1
Gd-Hf-Te,3,29,ok,1
Gd-Tc-Tl,3,18,ok,1
Ge-Hf-La,3,43,ok,1
Ge-In-K,3,63,ok,1
Ge-K-Mo,3,61,ok,1
Ge-K-Pd,3,55,ok,1
Ge-La-Sn,3,58,ok,1
Ge-Li,2,37,ok,1
Ge-Mg-Ni-Zr,4,135,ok,1
Ge-Mo,2,32,ok,1
Ge-Mo-Sn,3,51,ok,1
Ge-Na-Ni,3,57,ok,1
Ge-O-P,3,100,ok,1
Ge-P-Ta,3,61,ok,1
Ge-Pb-Si,3,75,ok,1
Ge-Pb-W,3,37,ok,1
Ge-Pr-Zr,3,53,ok,1
Ge-Se-Si,3,87,ok,1
Ge-Sn-Sr,3,59,ok,1
Ge-Th-V,3,37,ok,1
H-Ir-Pd-Sr,4,61,ok,1
Hf-Hg-Te,3,52,ok,1
Hf-Li-Pd-V,4,51,ok,1
Hf-Mo-Rh,3,33,ok,1
Hf-Mo-Yb,3,18,ok,1
Hf-Na-P,3,48,ok,1
Hf-Nb,2,10,ok,1
Hf-Ni-Sb,3,64,ok,1
Hf-Ni-Y,3,39,ok,1
Hf-Np-O-P,4,104,ok,1
Hf-O-P-Sn,4,230,ok,1
Hf-O-P-Th,4,117,ok,1
Hf-O-S,3,91,ok,1
Hf-Pd-Si,3,74,ok,1
Hf-Rh-W,3,26,ok,1
Hf-S,2,39,ok,1
Hf-Sc-Zr,3,29,ok,1
Hf-Si-Tl,3,66,ok,1
Hf-Ta-V,3,27,ok,1
